K,Inertia,Silhouette,Davies_Bouldin
2,6483.589425039297,0.4328265515350662,0.8924990931024944
3,4869.488628540216,0.3365174636950013,1.0483361748315712
4,3938.6032045582506,0.33733468086891827,1.01057912537452
5,3296.7087076425437,0.3162001336222631,0.9877789358456204
6,2855.52559576711,0.31280161157605324,1.0155938179824024
7,2548.820244849563,0.30918598433785954,0.9823343832117389
8,2336.341053610392,0.30327504528060134,0.9891648541565694
9,2156.005672521344,0.281084500299107,1.019266115296476
10,2000.5731646214847,0.2781269930252871,1.0236685733119573
